,piece,file,rank,index,probability,count
662,b,h,7,182,0.003168271169546137,46330
645,R,f,7,165,0.0031827003777648772,46541
352,q,f,4,448,0.0031876240886262483,46613
547,N,f,6,259,0.0031967876616182445,46747
178,Q,g,2,658,0.0031983605136989605,46770
254,b,f,3,542,0.0032010275237488697,46809
453,R,f,5,357,0.003216961199175251,47042
676,q,a,8,4,0.0032293388612017536,47223
580,q,a,7,100,0.0032936890267649503,48164
31,N,c,1,703,0.0033450460664439735,48915
289,n,a,4,385,0.00337294709465841,49323
705,R,c,8,33,0.003380606200442765,49435
39,r,d,1,711,0.0033821106676504057,49457
567,r,h,6,279,0.003386692454146404,49524
499,N,b,6,211,0.0033946250994230575,49640
316,q,c,4,412,0.0034044725211457997,49784
536,B,e,6,248,0.003419038499110689,49997
278,b,h,3,566,0.0034441357475290665,50364
340,q,e,4,436,0.003480653269750902,50898
351,r,f,4,447,0.0034837305890392588,50943
202,Q,a,3,490,0.003496108251065761,51124
400,q,b,5,304,0.0035258556708532116,51559
3,r,a,1,675,0.0035259924405993607,51561
652,q,g,7,172,0.0035728360786554604,52246
147,r,e,2,627,0.003578990717232174,52336
537,R,e,6,249,0.003580700339059039,52361
310,Q,b,4,406,0.00358562404992041,52433
457,n,g,5,361,0.0036036092715390298,52696
466,Q,g,5,370,0.0036099006798618926,52788
535,N,e,6,247,0.0036183120192500684,52911
717,R,d,8,45,0.0036197481015846347,52932
391,N,a,5,295,0.003630074217418899,53083
574,Q,h,6,286,0.0036315102997534657,53104
674,b,a,8,2,0.0036757553126327306,53751
442,Q,e,5,346,0.0036878594351669345,53928
681,R,a,8,9,0.003726086579215635,54487
264,p,g,3,552,0.0037373016983998694,54651
697,n,c,8,25,0.0037598687065144866,54981
484,q,a,6,196,0.003816491381420254,55809
736,q,f,8,64,0.0038429563273001234,56196
399,r,b,5,303,0.003896775222409832,56983
371,K,g,4,467,0.003947311643611961,57722
461,k,g,5,365,0.00399504428501803,58420
22,Q,b,1,694,0.0040152862074481115,58716
548,B,f,6,260,0.004020893767040228,58798
230,b,d,3,518,0.004025065244297779,58859
283,N,h,3,571,0.004032382425716761,58966
350,b,f,4,446,0.00404188792307413,59105
304,q,b,4,400,0.004052966272512215,59267
231,r,d,3,519,0.004064591700934896,59437
578,b,a,7,98,0.004076422283976802,59610
309,R,b,4,405,0.004084628468745754,59730
177,R,g,2,657,0.004097006130772256,59911
217,n,c,3,505,0.004115606816248547,60183
500,B,b,6,212,0.0041337971924863895,60449
328,q,d,4,424,0.004214354572968267,61627
286,Q,h,3,574,0.004223312991341039,61758
405,R,b,5,309,0.004230835327379245,61868
593,k,b,7,113,0.004231177251744617,61873
633,R,e,7,153,0.004244717456613388,62071
709,n,d,8,37,0.004256274500162995,62240
188,B,h,2,668,0.004294159719846323,62794
387,r,a,5,291,0.004295937726546262,62820
47,K,d,1,719,0.004379435656570347,64041
367,N,g,4,463,0.004383401979208674,64099
425,k,d,5,329,0.004385316755654762,64127
104,B,a,2,584,0.0043872999169739255,64156
207,r,b,3,495,0.0044020026646849645,64371
339,r,e,4,435,0.004403165207527232,64388
452,B,f,5,356,0.004405285138592545,64419
368,B,g,4,464,0.0044409136574644105,64940
430,Q,d,5,334,0.004448435993502617,65050
472,q,h,5,376,0.004481739426689946,65537
297,R,a,4,393,0.004592864845436168,67162
219,r,c,3,507,0.004593890618532287,67177
291,r,a,4,387,0.004599156253759031,67254
501,R,b,6,213,0.004628972058419556,67690
393,R,a,5,297,0.004634169308773225,67766
558,P,g,6,270,0.00465803562947626,68115
276,p,h,3,564,0.004678893015764012,68420
187,N,h,2,667,0.004715205383366624,68951
555,r,g,6,267,0.004740986480515748,69328
44,B,d,1,716,0.004748987510665476,69445
447,r,f,5,351,0.004771828058272392,69779
218,b,c,3,506,0.004775794380910719,69837
229,n,d,3,517,0.004786462421110356,69993
308,B,b,4,404,0.0047935060630370395,70096
512,B,c,6,224,0.00479412152689471,70105
357,R,f,4,453,0.004814226679578643,70399
335,K,d,4,431,0.004864899870526919,71140
376,q,h,4,472,0.004873311209915096,71263
252,p,f,3,540,0.004934720825936084,72161
303,r,b,4,399,0.004961801235673626,72557
448,q,f,5,352,0.0049681610288695634,72650
195,r,a,3,483,0.004969118417092608,72664
327,r,d,4,423,0.00498402631942287,72882
649,n,g,7,169,0.005009397107333546,73253
240,p,e,3,528,0.0050144575879410664,73327
651,r,g,7,171,0.005020065147533183,73409
119,K,b,2,599,0.005021706384486973,73433
513,R,c,6,225,0.005023826315552286,73464
285,R,h,3,573,0.005025125628140704,73483
56,B,e,1,728,0.005040375454836339,73706
43,N,d,1,715,0.005070396414116087,74145
135,r,d,2,615,0.005093920810453749,74489
524,B,d,6,236,0.005117992285776008,74841
441,R,e,5,345,0.005135088504044658,75091
509,k,c,6,221,0.0051387812871906855,75145
449,k,f,5,353,0.005151842797947934,75336
565,n,h,6,277,0.005151911182821009,75337
359,K,f,4,455,0.0052297331683799015,76475
470,b,h,5,374,0.005306392611096526,77596
321,R,c,4,417,0.005362263052398473,78413
511,N,c,6,223,0.005379017346301749,78658
227,K,c,3,515,0.005413688476950571,79165
661,n,h,7,181,0.005454377476429957,79760
117,R,b,2,597,0.005460874039372044,79855
417,R,c,5,321,0.005479201185356036,80123
495,r,b,6,207,0.005482620429009766,80173
460,q,g,5,364,0.005485560978551973,80216
296,B,a,4,392,0.005524813895696793,80790
483,r,a,6,195,0.005537328327469444,80973
489,R,a,6,201,0.005562630730507046,81343
437,k,e,5,341,0.00560373003922488,81944
435,r,e,5,339,0.005612004608866906,82065
347,K,e,4,443,0.005712803911778863,83539
345,R,e,4,441,0.005714513533605728,83564
287,K,h,3,575,0.005719779168832473,83641
213,R,b,3,501,0.005749936897858371,84082
398,b,b,5,302,0.005750415591969892,84089
478,Q,h,5,382,0.005769016277446183,84361
163,N,f,2,643,0.005782556482314954,84559
314,b,c,4,410,0.0058211939356021015,85124
118,Q,b,2,598,0.0058415042429052575,85421
458,b,g,5,362,0.005842461631128302,85435
382,Q,h,4,478,0.0058602416981276976,85695
